species,treatment,tank_rep,genotype,fragment,zoox_SA,protein_ugSA,zoox_protein_SA,tank_rep_rand
pdae,SeaSim,1,5,6,642356.558,386.848155,1660.487583,SeaSim_1
pdae,SeaSim,1,5,10,772655.8782,505.487184,1528.537029,SeaSim_1
plut,Control,1,4,19,781709.9693,833.0382301,938.3842674,Control_1
plut,Control,1,3,17,2632795.447,495.2194056,5316.422212,Control_1
plut,Control,2,4,7,2556995.609,1286.750965,1987.172094,Control_2
plut,Control,2,3,25,668278.1984,328.1867693,2036.27404,Control_2
plut,Control,3,1,8,1540488.632,1068.916157,1441.168817,Control_3
plut,Control,3,2,31,1592237.811,482.9287411,3297.04504,Control_3
plut,Control,4,2,18,1619930.008,525.7913058,3080.937228,Control_4
plut,Control,4,3,24,3315691.962,500.8323774,6620.362644,Control_4
plut,Fish,1,1,5,1822318.42,1584.99139,1149.733955,Fish_1
plut,Fish,1,3,11,3646791.664,513.1650607,7106.469133,Fish_1
plut,Fish,2,5,19,2124366.195,605.0685409,3510.951324,Fish_2
plut,Fish,2,1,18,1851758.427,2353.98671,786.647783,Fish_2
plut,Fish,3,1,13,2101729.413,1079.482738,1946.97825,Fish_3
plut,Fish,3,5,53,2837403.85,646.4712327,4389.064364,Fish_3
plut,Fish,4,3,27,3370703.156,609.6324808,5529.074093,Fish_4
plut,Fish,4,2,1,1687908.374,443.2427922,3808.08984,Fish_4
plut,Mix,1,1,1,2965074.681,2219.367395,1335.999929,Mix_1
plut,Mix,1,4,22,1954307.185,1518.030086,1287.396872,Mix_1
plut,Mix,2,3,60,3420071.883,481.0979952,7108.888245,Mix_2
plut,Mix,2,4,16,2053536.167,1220.37877,1682.703943,Mix_2
plut,Mix,3,4,46,2490490.912,1103.354095,2257.200044,Mix_3
plut,Mix,3,1,15,1761052.901,1649.095438,1067.890226,Mix_3
plut,Mix,4,2,14,2177170.496,419.9109986,5184.837986,Mix_4
plut,Mix,4,4,47,1526289.15,701.6313798,2175.343341,Mix_4
plut,LiveFeeds,1,1,9,2175210.421,1573.253122,1382.619485,LiveFeeds_1
plut,LiveFeeds,1,5,9,2118208.44,772.7104515,2741.270596,LiveFeeds_1
plut,LiveFeeds,2,2,8,1326218.405,524.3430635,2529.295222,LiveFeeds_2
plut,LiveFeeds,2,4,15,2194325.224,1010.345059,2171.857234,LiveFeeds_2
plut,LiveFeeds,3,2,36,858578.543,458.6114735,1872.126173,LiveFeeds_3
plut,LiveFeeds,3,5,36,2090199.96,660.7205474,3163.515904,LiveFeeds_3
plut,LiveFeeds,4,2,23,996474.4585,476.1851676,2092.619692,LiveFeeds_4
plut,LiveFeeds,4,5,38,1960633.464,496.8532526,3946.101698,LiveFeeds_4
plut,Pellets,1,2,50,1915094.235,673.8279285,2842.111693,Pellets_1
plut,Pellets,1,1,23,2875346.411,614.6968606,4677.665683,Pellets_1
