species,treatment,replicate,row,column,sp_rep,genotype,fragment,month,bw_raw,bw_initial_raw
pdae,control,4,D,10,8,4,16,0,9.136,9.136
pdae,control,4,C,4,5,5,26,0,7.236,7.236
pdae,control,4,D,4,7,5,53,0,8.731,8.731
pdae,dissolved,1,E,3,9,1,50,0,11.377,11.377
pdae,dissolved,1,B,1,4,1,51,0,5.461,5.461
pdae,dissolved,1,A,5,2,2,29,0,10.187,10.187
pdae,dissolved,1,A,7,3,2,36,0,9.894,9.894
pdae,dissolved,1,D,4,7,3,21,0,15.909,15.909
pdae,dissolved,1,A,1,1,3,26,0,15.31,15.31
pdae,dissolved,1,D,10,8,4,7,0,11.475,11.475
pdae,dissolved,1,E,10,10,4,21,0,11.003,11.003
pdae,dissolved,1,C,10,6,5,23,0,8.075,8.075
pdae,dissolved,1,C,4,5,5,40,0,7.998,7.998
pdae,dissolved,2,A,7,3,1,16,0,11.951,11.951
pdae,dissolved,2,E,3,9,1,40,0,9.323,9.323
pdae,dissolved,2,A,1,1,2,12,0,10.904,10.904
pdae,dissolved,2,D,10,8,2,16,0,7.436,7.436
pdae,dissolved,2,D,4,7,3,20,0,11.894,11.894
pdae,dissolved,2,C,4,5,3,23,0,7.538,7.538
pdae,dissolved,2,A,5,2,4,3,0,11.577,11.577
pdae,dissolved,2,E,10,10,4,19,0,10.164,10.164
pdae,dissolved,2,C,10,6,5,16,0,5.906,5.906
pdae,dissolved,2,B,1,4,5,34,0,9.129,9.129
pdae,dissolved,3,C,4,5,1,10,0,7.613,7.613
pdae,dissolved,3,D,4,7,1,17,0,10.532,10.532
pdae,dissolved,3,A,5,2,2,53,0,11.001,11.001
pdae,dissolved,3,A,1,1,2,55,0,11.517,11.517
pdae,dissolved,3,C,10,6,3,11,0,8.028,8.028
pdae,dissolved,3,D,10,8,3,33,0,8.536,8.536
pdae,dissolved,3,B,1,4,4,34,0,16.727,16.727
pdae,dissolved,3,E,10,10,4,48,0,13.73,13.73
pdae,dissolved,3,A,7,3,5,4,0,6.703,6.703
pdae,dissolved,3,E,3,9,5,45,0,7.455,7.455
pdae,dissolved,4,A,1,1,1,13,0,15.482,15.482
