treatment,replicate,row,column,species,sp_rep,genotype,fragment,surv_time,dead
mix,3,E,2,aten,10,3,27,78,1
mix,4,A,8,aten,1,5,17,92,0
mix,4,A,9,aten,2,5,16,92,0
mix,4,B,3,aten,3,1,35,73,1
mix,4,B,6,aten,4,1,47,90,1
mix,4,C,1,aten,5,2,36,72,1
mix,4,C,6,aten,6,4,15,92,0
mix,4,C,7,aten,7,4,28,92,0
mix,4,C,8,aten,8,2,40,92,0
mix,4,D,1,aten,9,3,6,75,1
mix,4,E,2,aten,10,3,38,64,1
pellets,1,A,8,aten,1,5,34,92,0
pellets,1,A,9,aten,2,5,40,92,0
pellets,1,B,3,aten,3,3,47,64,1
pellets,1,B,6,aten,4,3,36,92,0
pellets,1,C,1,aten,5,1,31,92,0
pellets,1,C,6,aten,6,2,47,92,0
pellets,1,C,7,aten,7,4,43,92,0
pellets,1,C,8,aten,8,4,40,92,0
pellets,1,D,1,aten,9,2,12,72,1
pellets,1,E,2,aten,10,1,32,67,1
pellets,2,A,8,aten,1,4,23,92,0
pellets,2,A,9,aten,2,4,22,92,0
pellets,2,B,3,aten,3,2,26,40,1
pellets,2,B,6,aten,4,3,40,75,1
pellets,2,C,1,aten,5,2,27,92,0
pellets,2,C,6,aten,6,3,33,92,0
pellets,2,C,7,aten,7,5,25,92,0
pellets,2,C,8,aten,8,5,26,92,0
pellets,2,D,1,aten,9,1,7,40,1
pellets,2,E,2,aten,10,1,6,40,1
pellets,3,A,8,aten,1,5,35,92,0
pellets,3,A,9,aten,2,4,30,92,0
pellets,3,B,3,aten,3,2,45,47,1
pellets,3,B,6,aten,4,3,45,72,1
pellets,3,C,1,aten,5,2,20,61,1
pellets,3,C,6,aten,6,3,61,73,1
pellets,3,C,7,aten,7,4,44,75,1
pellets,3,C,8,aten,8,5,32,92,0
pellets,3,D,1,aten,9,1,5,92,0
pellets,3,E,2,aten,10,2,51,85,1
pellets,4,A,8,aten,1,1,15,92,0
pellets,4,A,9,aten,2,2,3,92,0
pellets,4,B,3,aten,3,4,35,81,1
pellets,4,B,6,aten,4,4,38,85,1
pellets,4,C,1,aten,5,3,4,73,1
pellets,4,C,6,aten,6,3,5,61,1
pellets,4,C,7,aten,7,2,4,61,1
pellets,4,C,8,aten,8,2,5,64,1
pellets,4,D,1,aten,9,5,41,92,0
pellets,4,E,2,aten,10,5,33,92,0
control,1,A,1,pdae,1,4,44,92,0
control,1,A,5,pdae,2,5,5,92,0
control,1,A,7,pdae,3,1,33,92,0
control,1,B,1,pdae,4,4,4,92,0
control,1,C,4,pdae,5,2,31,92,0
control,1,C,10,pdae,6,1,28,92,0
control,1,D,4,pdae,7,2,32,92,0
control,1,D,10,pdae,8,2,34,92,0
control,1,E,3,pdae,9,3,31,92,0
control,1,E,10,pdae,10,5,8,92,0
control,2,A,1,pdae,1,4,39,92,0
control,2,A,5,pdae,2,2,23,92,0
control,2,A,7,pdae,3,1,39,92,0
control,2,B,1,pdae,4,5,1,92,0
control,2,C,4,pdae,5,2,1,92,0
control,2,C,10,pdae,6,3,7,92,0
control,2,D,4,pdae,7,5,2,92,0
control,2,D,10,pdae,8,1,36,92,0
control,2,E,3,pdae,9,4,47,92,0
control,2,E,10,pdae,10,3,24,92,0
control,3,A,1,pdae,1,1,20,92,0
control,3,A,5,pdae,2,4,42,92,0
control,3,A,7,pdae,3,5,10,92,0
control,3,B,1,pdae,4,4,33,92,0
control,3,C,4,pdae,5,2,46,92,0
control,3,C,10,pdae,6,2,38,92,0
control,3,D,4,pdae,7,5,54,92,0
control,3,D,10,pdae,8,1,25,92,0
control,3,E,3,pdae,9,3,14,92,0
control,3,E,10,pdae,10,3,15,92,0
control,4,A,1,pdae,1,3,19,92,0
control,4,A,5,pdae,2,3,41,92,0
control,4,A,7,pdae,3,2,8,92,0
control,4,B,1,pdae,4,4,11,92,0
control,4,C,4,pdae,5,5,26,92,0
control,4,C,10,pdae,6,2,9,92,0
control,4,D,4,pdae,7,5,53,92,0
control,4,D,10,pdae,8,4,16,92,0
control,4,E,3,pdae,9,1,7,92,0
control,4,E,10,pdae,10,1,49,92,0
dissolved,1,A,1,pdae,1,3,26,92,0
dissolved,1,A,5,pdae,2,2,29,92,0
dissolved,1,A,7,pdae,3,2,36,92,0
dissolved,1,B,1,pdae,4,1,51,92,0
dissolved,1,C,4,pdae,5,5,40,92,0
dissolved,1,C,10,pdae,6,5,23,92,0
dissolved,1,D,4,pdae,7,3,21,92,0
dissolved,1,D,10,pdae,8,4,7,92,0
dissolved,1,E,3,pdae,9,1,50,92,0
dissolved,1,E,10,pdae,10,4,21,92,0
dissolved,2,A,1,pdae,1,2,12,92,0
dissolved,2,A,5,pdae,2,4,3,92,0
dissolved,2,A,7,pdae,3,1,16,92,0
dissolved,2,B,1,pdae,4,5,34,92,0
dissolved,2,C,4,pdae,5,3,23,92,0
dissolved,2,C,10,pdae,6,5,16,92,0
dissolved,2,D,4,pdae,7,3,20,92,0
dissolved,2,D,10,pdae,8,2,16,92,0
dissolved,2,E,3,pdae,9,1,40,92,0
dissolved,2,E,10,pdae,10,4,19,92,0
dissolved,3,A,1,pdae,1,2,55,92,0
dissolved,3,A,5,pdae,2,2,53,92,0
dissolved,3,A,7,pdae,3,5,4,92,0
dissolved,3,B,1,pdae,4,4,34,92,0
dissolved,3,C,4,pdae,5,1,10,92,0
dissolved,3,C,10,pdae,6,3,11,92,0
dissolved,3,D,4,pdae,7,1,17,92,0
dissolved,3,D,10,pdae,8,3,33,92,0
dissolved,3,E,3,pdae,9,5,45,92,0
dissolved,3,E,10,pdae,10,4,48,92,0
dissolved,4,A,1,pdae,1,1,13,92,0
dissolved,4,A,5,pdae,2,4,10,92,0
dissolved,4,A,7,pdae,3,3,43,92,0
dissolved,4,B,1,pdae,4,3,32,92,0
dissolved,4,C,4,pdae,5,2,43,92,0
dissolved,4,C,10,pdae,6,4,9,92,0
dissolved,4,D,4,pdae,7,1,53,92,0
dissolved,4,D,10,pdae,8,5,27,92,0
dissolved,4,E,3,pdae,9,5,25,92,0
dissolved,4,E,10,pdae,10,2,51,92,0
fish,1,A,1,pdae,1,4,46,92,0
fish,1,A,5,pdae,2,5,46,92,0
fish,1,A,7,pdae,3,5,38,92,0
fish,1,B,1,pdae,4,5,47,92,0
fish,1,C,4,pdae,5,3,29,92,0
fish,1,C,10,pdae,6,2,40,92,0
fish,1,D,4,pdae,7,4,40,92,0
fish,1,D,10,pdae,8,1,15,92,0
fish,1,E,3,pdae,9,1,43,92,0
fish,1,E,10,pdae,10,2,20,92,0
fish,2,A,1,pdae,1,4,22,92,0
fish,2,A,5,pdae,2,5,33,92,0
fish,2,A,7,pdae,3,4,29,92,0
fish,2,B,1,pdae,4,5,52,92,0
fish,2,C,4,pdae,5,1,6,92,0
fish,2,C,10,pdae,6,1,5,92,0
fish,2,D,4,pdae,7,2,24,92,0
fish,2,D,10,pdae,8,3,28,92,0
fish,2,E,3,pdae,9,3,42,92,0
fish,2,E,10,pdae,10,2,21,92,0
fish,3,A,1,pdae,1,5,28,92,0
fish,3,A,5,pdae,2,4,5,92,0
fish,3,A,7,pdae,3,3,17,92,0
fish,3,B,1,pdae,4,4,43,92,0
fish,3,C,4,pdae,5,2,35,92,0
fish,3,C,10,pdae,6,1,19,92,0
fish,3,D,4,pdae,7,3,40,92,0
fish,3,D,10,pdae,8,1,3,92,0
fish,3,E,3,pdae,9,5,44,92,0
fish,3,E,10,pdae,10,2,26,92,0
fish,4,A,1,pdae,1,4,1,92,0
fish,4,A,5,pdae,2,2,22,92,0
fish,4,A,7,pdae,3,3,4,92,0
fish,4,B,1,pdae,4,5,43,92,0
fish,4,C,4,pdae,5,5,39,92,0
fish,4,C,10,pdae,6,1,31,92,0
fish,4,D,4,pdae,7,4,45,92,0
fish,4,D,10,pdae,8,1,38,92,0
fish,4,E,3,pdae,9,2,2,92,0
fish,4,E,10,pdae,10,3,39,92,0
livefeeds,1,A,1,pdae,1,2,19,92,0
livefeeds,1,A,5,pdae,2,5,35,92,0
livefeeds,1,A,7,pdae,3,5,24,92,0
livefeeds,1,B,1,pdae,4,1,42,92,0
livefeeds,1,C,4,pdae,5,4,8,92,0
livefeeds,1,C,10,pdae,6,3,34,92,0
livefeeds,1,D,4,pdae,7,4,17,92,0
livefeeds,1,D,10,pdae,8,1,46,92,0
livefeeds,1,E,3,pdae,9,3,13,92,0
livefeeds,1,E,10,pdae,10,2,10,92,0
livefeeds,2,A,1,pdae,1,2,41,92,0
livefeeds,2,A,5,pdae,2,5,13,92,0
livefeeds,2,A,7,pdae,3,5,22,92,0
livefeeds,2,B,1,pdae,4,4,41,92,0
livefeeds,2,C,4,pdae,5,3,45,92,0
livefeeds,2,C,10,pdae,6,1,24,92,0
livefeeds,2,D,4,pdae,7,4,27,92,0
livefeeds,2,D,10,pdae,8,2,27,92,0
livefeeds,2,E,3,pdae,9,3,22,92,0
livefeeds,2,E,10,pdae,10,1,22,92,0
livefeeds,3,A,1,pdae,1,4,36,92,0
livefeeds,3,A,5,pdae,2,3,12,92,0
livefeeds,3,A,7,pdae,3,5,9,92,0
livefeeds,3,B,1,pdae,4,2,39,92,0
livefeeds,3,C,4,pdae,5,2,18,92,0
livefeeds,3,C,10,pdae,6,1,9,92,0
